наименование,URL,цена 
SAMSUNG,https://www.avito.ru/sankt-peterburg/chasy_i_ukrasheniya/samsung_1779073649?slocation=621540,13 900    руб.,//20.img.avito.st/208x156/5879616320.jpg
SAMSUNG,https://www.avito.ru/vyatskie_polyany/planshety_i_elektronnye_knigi/samsung_1821436842,9 000    руб.,//24.img.avito.st/208x156/6117785624.jpg
SAMSUNG,https://www.avito.ru/hasavyurt/telefony/samsung_953103346,2 200    руб.,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
SAMSUNG,https://www.avito.ru/krasnoyarsk/audio_i_video/samsung_1819289234?slocation=621540,30 000    руб.,//23.img.avito.st/208x156/5984298423.jpg
SAMSUNG,https://www.avito.ru/voronezh/telefony/samsung_1805101473,Цена не указана руб.,//67.img.avito.st/208x156/6218233167.jpg
SAMSUNG,https://www.avito.ru/sergiev_posad/telefony/samsung_1819222401,2 500    руб.,//37.img.avito.st/208x156/6214511537.jpg
SAMSUNG,https://www.avito.ru/barnaul/telefony/samsung_1806665504?slocation=621540,4 500    руб.,//46.img.avito.st/208x156/6218331146.jpg
Самсунг,https://www.avito.ru/kueda/telefony/samsung_1812470093,20 000    руб.,//59.img.avito.st/208x156/6214560159.jpg
Самсунг,https://www.avito.ru/krasnodar/telefony/samsung_1791756472?slocation=621540,2 000    руб.,//11.img.avito.st/208x156/6067400611.jpg
Самсунг,https://www.avito.ru/yaroslavl/fototehnika/samsung_1813993515?slocation=621540,500    руб.,//96.img.avito.st/208x156/6227828696.jpg
Самсунг,https://www.avito.ru/vyshniy_volochek/telefony/samsung_679250707?slocation=621540,1 990    руб.,//01.img.avito.st/208x156/4443710101.jpg
Самсунг,https://www.avito.ru/moskva/telefony/samsung_1803709731,1 200    руб.,//44.img.avito.st/208x156/6214258944.jpg
SAMSUNG,https://www.avito.ru/tyumen/audio_i_video/samsung_1803189187?slocation=621540,18 000    руб.,//04.img.avito.st/208x156/6181754204.jpg
SAMSUNG,https://www.avito.ru/nizhegorodskaya_oblast_pavlovo/telefony/samsung_1816157942?slocation=621540,500    руб.,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
SAMSUNG,https://www.avito.ru/kaluga/telefony/samsung_1810512400?slocation=621540,13 000    руб.,//51.img.avito.st/208x156/6214060451.jpg
SAMSUNG,https://www.avito.ru/smolensk/telefony/samsung_1452570135?slocation=621540,1 900    руб.,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
SAMSUNG,https://www.avito.ru/omsk/telefony/samsung_1800114496?slocation=621540,2 800    руб.,//31.img.avito.st/208x156/6217706531.jpg
SAMSUNG,https://www.avito.ru/staryy_oskol/audio_i_video/samsung_1785059458?slocation=621540,3 000    руб.,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
SAMSUNG,https://www.avito.ru/pushkino/telefony/samsung_1246003356?slocation=621540,5 000    руб.,//77.img.avito.st/208x156/4266912777.jpg
SAMSUNG,https://www.avito.ru/leninsk-kuznetskiy/telefony/samsung_1812313090,3 000    руб.,//45.img.avito.st/208x156/6217356445.jpg
SAMSUNG,https://www.avito.ru/stavropol/telefony/samsung_1815695490?slocation=621540,100    руб.,//94.img.avito.st/208x156/6224997294.jpg
SAMSUNG,https://www.avito.ru/ryazan/planshety_i_elektronnye_knigi/samsung_1360821197,5 500    руб.,//98.img.avito.st/208x156/5383102498.jpg
Самсунг,https://www.avito.ru/kaspiysk/telefony/samsung_1804110722,2 500    руб.,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
Самсунг,https://www.avito.ru/polevskoy/audio_i_video/samsung_1796950554?slocation=621540,8 000    руб.,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
SAMSUNG,https://www.avito.ru/ekaterinburg/telefony/samsung_1790759990?slocation=621540,2 500    руб.,//89.img.avito.st/208x156/6217324889.jpg
Самсунг,https://www.avito.ru/cherkessk/telefony/samsung_1812486404?slocation=621540,6 000    руб.,//69.img.avito.st/208x156/6229155069.jpg
SAMSUNG,https://www.avito.ru/ivanovo/telefony/samsung_1810428564,5 500    руб.,//74.img.avito.st/208x156/6213299674.jpg
SAMSUNG,https://www.avito.ru/vyshniy_volochek/telefony/samsung_1793906888,600    руб.,//76.img.avito.st/208x156/6224810776.jpg
SAMSUNG,https://www.avito.ru/sankt-peterburg/planshety_i_elektronnye_knigi/samsung_1809599779,3 000    руб.,//13.img.avito.st/208x156/6226344813.jpg
SAMSUNG,https://www.avito.ru/orehovo-zuevo/telefony/samsung_1803421937,950    руб.,//30.img.avito.st/208x156/6224790930.jpg
SAMSUNG,https://www.avito.ru/sankt-peterburg/telefony/samsung_1218838360,200    руб.,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
SAMSUNG,https://www.avito.ru/nizhniy_novgorod/telefony/samsung_1819890859?slocation=621540,13 000    руб.,//75.img.avito.st/208x156/6081657075.jpg
SAMSUNG,https://www.avito.ru/rostov-na-donu/telefony/samsung_1176878758,2 500    руб.,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
Самсунг,https://www.avito.ru/kirovskaya_oblast_kirov/telefony/samsung_1806286758,6 000    руб.,//91.img.avito.st/208x156/6217097191.jpg
SAMSUNG,https://www.avito.ru/yaroslavl/telefony/samsung_1665783940,800    руб.,//73.img.avito.st/208x156/5486040673.jpg
SAMSUNG,https://www.avito.ru/nizhniy_tagil/telefony/samsung_1817274813,500    руб.,//60.img.avito.st/208x156/6224696960.jpg
Самсунг,https://www.avito.ru/kaliningradskaya_oblast_sovetsk/telefony/samsung_1818974461,7 500    руб.,//81.img.avito.st/208x156/6224665781.jpg
SAMSUNG,https://www.avito.ru/moskva/telefony/samsung_1118221840,1 500    руб.,//58.img.avito.st/208x156/5253953458.jpg
SAMSUNG,https://www.avito.ru/groznyy/telefony/samsung_1784514401?slocation=621540,37 000    руб.,//44.img.avito.st/208x156/5894571144.jpg
SAMSUNG,https://www.avito.ru/sankt-peterburg/telefony/samsung_1764928656,400    руб.,//00.img.avito.st/208x156/5948958600.jpg
SAMSUNG,https://www.avito.ru/otradnyy/planshety_i_elektronnye_knigi/samsung_1814822268?slocation=621540,6 000    руб.,//72.img.avito.st/208x156/6077148272.jpg
SAMSUNG,https://www.avito.ru/krasnoyarsk/telefony/samsung_1451130706?slocation=621540,10 000    руб.,//99.img.avito.st/208x156/4679064899.jpg
SAMSUNGS8,https://www.avito.ru/voronezh/telefony/samsung_s8_1812226335,17 990    руб.,//39.img.avito.st/208x156/6150681639.jpg
SAMSUNGS9,https://www.avito.ru/voronezh/telefony/samsung_s9_1812261366,21 990    руб.,//58.img.avito.st/208x156/6151378658.jpg
SAMSUNGGalaxyA10A30A40A50A60A80S10S10eкредит,https://www.avito.ru/moskva/telefony/samsung_galaxy_a10a30a40a50a60a80_s10s10e_kredit_1402194445,4 990    руб.,//43.img.avito.st/208x156/6186245643.jpg
SAMSUNG,https://www.avito.ru/otradnyy/planshety_i_elektronnye_knigi/samsung_1814822268?slocation=621540,6 000    руб.,//72.img.avito.st/208x156/6077148272.jpg
SAMSUNG,https://www.avito.ru/krasnoyarsk/telefony/samsung_1451130706?slocation=621540,10 000    руб.,//99.img.avito.st/208x156/4679064899.jpg
SAMSUNG,https://www.avito.ru/tula/telefony/samsung_1790483371?slocation=621540,14 000    руб.,//06.img.avito.st/208x156/6224427406.jpg
SAMSUNG,https://www.avito.ru/krasnodar/telefony/samsung_1791327576,1 500    руб.,//06.img.avito.st/208x156/6224517006.jpg
Сервернаяпамять16GBPC314900rHPPN712383081,https://www.avito.ru/moskva/tovary_dlya_kompyutera/servernaya_pamyat_16gb_pc3-14900r_hp_pn_712383-081_1775618473,НЕ УКАЗАНА,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
ТелевизорYasin32дюйLEDIPSFullHD1ГодГарантии,https://www.avito.ru/tyumen/audio_i_video/televizor_yasin_32dyuy_led_ips_fullhd1god_garantii_1760504234,НЕ УКАЗАНА,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
Игровойкомпьютер,https://www.avito.ru/moskva/nastolnye_kompyutery/igrovoy_kompyuter_1661629199,НЕ УКАЗАНА,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
Самсунг,https://www.avito.ru/astrahan/telefony/samsung_1806492067?slocation=621540,4 000    руб.,//61.img.avito.st/208x156/6224476061.jpg
SAMSUNG,https://www.avito.ru/kerch/telefony/samsung_1808139249?slocation=621540,23 000    руб.,//01.img.avito.st/208x156/6224444801.jpg
SAMSUNG,https://www.avito.ru/orenburg/telefony/samsung_1773961474,8 500    руб.,//99.img.avito.st/208x156/5810449699.jpg
SAMSUNG,https://www.avito.ru/volgograd/telefony/samsung_836807313?slocation=621540,2 500    руб.,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
ГироскутерSmartbalance105Галактика,https://www.avito.ru/chelyabinsk/sport_i_otdyh/giroskuter_smart_balance_105_galaktika_1287878929,НЕ УКАЗАНА,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
SAMSUNGGearSport,https://www.avito.ru/rostov-na-donu/chasy_i_ukrasheniya/samsung_gear_sport_1806432468?slocation=621540,НЕ УКАЗАНА,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
Игровойноутбук,https://www.avito.ru/arzamas/noutbuki/igrovoy_noutbuk_1692108802?slocation=621540,НЕ УКАЗАНА,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
SAMSUNG,https://www.avito.ru/kaluga/telefony/samsung_1105915886?slocation=621540,13 500    руб.,//53.img.avito.st/208x156/4918789153.jpg
SAMSUNG,https://www.avito.ru/nizhnevartovsk/telefony/samsung_1821009135?slocation=621540,16 500    руб.,//63.img.avito.st/208x156/6224242463.jpg
Самсунг,https://www.avito.ru/kameshkovo/telefony/samsung_1807376345,1 500    руб.,//51.img.avito.st/208x156/6224194951.jpg
SAMSUNG,https://www.avito.ru/chelyabinsk/telefony/samsung_1817094665?slocation=621540,1 000    руб.,//71.img.avito.st/208x156/6224096471.jpg
SAMSUNG,https://www.avito.ru/sankt-peterburg/telefony/samsung_1810996834,9 100    руб.,//08.img.avito.st/208x156/6223960508.jpg
SAMSUNG,https://www.avito.ru/kazan/telefony/samsung_938568300,1 700    руб.,//01.img.avito.st/208x156/4059379001.jpg
SAMSUNG,https://www.avito.ru/noginsk/telefony/samsung_1803314389?slocation=621540,5 000    руб.,//55.img.avito.st/208x156/6209039455.jpg
Самсунг,https://www.avito.ru/derbent/telefony/samsung_1773687865,5 500    руб.,//42.img.avito.st/208x156/5951828442.jpg
SAMSUNG,https://www.avito.ru/magnitogorsk/telefony/samsung_1798243141?slocation=621540,500    руб.,//23.img.avito.st/208x156/6223826523.jpg
Самсунг,https://www.avito.ru/novokuznetsk/telefony/samsung_1325729181?slocation=621540,1 500    руб.,//16.img.avito.st/208x156/4939733816.jpg
SAMSUNG,https://www.avito.ru/kirzhach/telefony/samsung_1807644457,4 000    руб.,//36.img.avito.st/208x156/6081449336.jpg
SAMSUNG,https://www.avito.ru/sankt-peterburg/telefony/samsung_1819824706?slocation=621540,99    руб.,//14.img.avito.st/208x156/6223742714.jpg
SAMSUNG,https://www.avito.ru/sochi/telefony/samsung_1592717840?slocation=621540,4 500    руб.,//08.img.avito.st/208x156/5252611808.jpg
Самсунг,https://www.avito.ru/astrahan/telefony/samsung_1807128230?slocation=621540,850    руб.,//69.img.avito.st/208x156/6223736669.jpg
SAMSUNG,https://www.avito.ru/novolabinskaya/telefony/samsung_1772583179,2 000    руб.,//24.img.avito.st/208x156/5830717224.jpg
SAMSUNG,https://www.avito.ru/belgorod/telefony/samsung_1797822901?slocation=621540,11 000    руб.,//33.img.avito.st/208x156/6212422333.jpg
SAMSUNG,https://www.avito.ru/novolabinskaya/telefony/samsung_1772086927,2 700    руб.,//17.img.avito.st/208x156/5831609017.jpg
SAMSUNG,https://www.avito.ru/nizhniy_tagil/telefony/samsung_1247292300?slocation=621540,2 500    руб.,//83.img.avito.st/208x156/4759522883.jpg
SAMSUNG,https://www.avito.ru/volgograd/telefony/samsung_1773097215?slocation=621540,800    руб.,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
Самсунг,https://www.avito.ru/lysva/telefony/samsung_1792233061?slocation=621540,2 000    руб.,//41.img.avito.st/208x156/6223309241.jpg
SAMSUNG,https://www.avito.ru/smolensk/telefony/samsung_1385601774?slocation=621540,500    руб.,//53.img.avito.st/208x156/4609287653.jpg
SAMSUNG,https://www.avito.ru/syktyvkar/telefony/samsung_1800627251,500    руб.,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
SAMSUNG,https://www.avito.ru/sol-iletsk/telefony/samsung_1763437819,7 000    руб.,//21.img.avito.st/208x156/5843331321.jpg
SAMSUNG,https://www.avito.ru/ekaterinburg/telefony/samsung_1813591096,3 000    руб.,//61.img.avito.st/208x156/6212357961.jpg
SAMSUNG,https://www.avito.ru/karachaevsk/telefony/samsung_1793125840,2 500    руб.,//59.img.avito.st/208x156/6223354659.jpg
SAMSUNG,https://www.avito.ru/moskva/telefony/samsung_1071732406?slocation=621540,3 000    руб.,//28.img.avito.st/208x156/5008892528.jpg
SAMSUNG,https://www.avito.ru/voronezh/telefony/samsung_1812946992?slocation=621540,4 000    руб.,//77.img.avito.st/208x156/6079291477.jpg
Самсунг,https://www.avito.ru/belaya_kalitva/telefony/samsung_992587432,3 500    руб.,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
Самсунг,https://www.avito.ru/ufa/telefony/samsung_1482358385?slocation=621540,11 000    руб.,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
SAMSUNG,https://www.avito.ru/kusa/telefony/samsung_1792980382,400    руб.,//53.img.avito.st/208x156/6222991353.jpg
SAMSUNG,https://www.avito.ru/povarovo/telefony/samsung_1668558123,1 000    руб.,//27.img.avito.st/208x156/5388369727.jpg
SAMSUNG,https://www.avito.ru/velikiy_ustyug/telefony/samsung_1778205585,2 000    руб.,//21.img.avito.st/208x156/5728672221.jpg
Самсунг,https://www.avito.ru/hasavyurt/telefony/samsung_1813086408,1 000    руб.,//05.img.avito.st/208x156/6222880105.jpg
SAMSUNG,https://www.avito.ru/magadan/telefony/samsung_1389894176?slocation=621540,15 000    руб.,//11.img.avito.st/208x156/5014139111.jpg
SAMSUNG,https://www.avito.ru/sankt-peterburg/telefony/samsung_1803338520?slocation=621540,2 000    руб.,//76.img.avito.st/208x156/6210837076.jpg
Самсунг,https://www.avito.ru/mordoviya_krasnoslobodsk/telefony/samsung_1481616705,500    руб.,//79.img.avito.st/208x156/5179281079.jpg
Самсунг,https://www.avito.ru/stavropol/telefony/samsung_1821740150?slocation=621540,500    руб.,//48.img.avito.st/208x156/6222778048.jpg
SAMSUNG,https://www.avito.ru/ekaterinburg/telefony/samsung_1821168610?slocation=621540,2 000    руб.,//36.img.avito.st/208x156/6050634636.jpg
SAMSUNG,https://www.avito.ru/tyumen/telefony/samsung_1809370895?slocation=621540,5 500    руб.,//98.img.avito.st/208x156/6022265398.jpg
SAMSUNG,https://www.avito.ru/nalchik/telefony/samsung_1797110129?slocation=621540,3 000    руб.,//17.img.avito.st/208x156/6222662817.jpg
SAMSUNG,https://www.avito.ru/omsk/telefony/samsung_1810933135?slocation=621540,400    руб.,//05.img.avito.st/208x156/6222594605.jpg
SAMSUNG,https://www.avito.ru/lipetsk/telefony/samsung_1550057670,600    руб.,//04.img.avito.st/208x156/4825529804.jpg
наименование,URL,цена
,https://www.avito.ru/krasnodar/telefony/samsung_1449658930,9 000    руб.,//68.img.avito.st/208x156/5810707268.jpg
,https://www.avito.ru/sankt-peterburg/telefony/samsung_galaxy_s9_s9_plus_note_s8_s7_edge_1588890829,9 990    руб.,//31.img.avito.st/208x156/5623181731.jpg
,https://www.avito.ru/sankt-peterburg/telefony/samsung_s6s6edges7s7edges8s8s9s9_1779472375,7 500    руб.,//95.img.avito.st/208x156/5927944495.jpg
,https://www.avito.ru/kanash/telefony/samsung_1785007234,2 000    руб.,//88.img.avito.st/208x156/5945447588.jpg
,https://www.avito.ru/astrahan/telefony/samsung_1807588863,15 000    руб.,//02.img.avito.st/208x156/6230787902.jpg
,https://www.avito.ru/cheboksary/telefony/samsung_1706164869?slocation=621540,2 000    руб.,//75.img.avito.st/208x156/4663177775.jpg
,https://www.avito.ru/cheboksary/telefony/samsung_1180815069?slocation=621540,1 000    руб.,//74.img.avito.st/208x156/4663190674.jpg
,https://www.avito.ru/moskva/telefony/samsung_note_9_128gb_na_snapdragon_1806045815?slocation=621540,НЕ УКАЗАНА,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
,https://www.avito.ru/yaroslavl/bytovaya_tehnika/stiralnye_mashiny_1790505608,НЕ УКАЗАНА,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
,https://www.avito.ru/sankt-peterburg/bytovaya_tehnika/mikrovolnovka_samsung_800_watt_1770830322,НЕ УКАЗАНА,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
,https://www.avito.ru/orenburg/telefony/samsung_1791749398?slocation=621540,1 500    руб.,//51.img.avito.st/208x156/6231645051.jpg
,https://www.avito.ru/tver/telefony/samsung_1684605510?slocation=621540,9 000    руб.,//29.img.avito.st/208x156/5437697729.jpg
,https://www.avito.ru/voronezh/telefony/samsung_galaxy_j3_1817243807,4 490    руб.,//95.img.avito.st/208x156/6154305195.jpg
,https://www.avito.ru/mahachkala/telefony/samsung_1562568142,7 000    руб.,//43.img.avito.st/208x156/4784970543.jpg
,https://www.avito.ru/chelyabinsk/predlozheniya_uslug/remont_kompyuterov_i_noutbukov_kompyuternaya_pomosch_1036789833,НЕ УКАЗАНА,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
,https://www.avito.ru/novosibirsk/telefony/zamena_stekla_iphone_samsung_1201167181,НЕ УКАЗАНА,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
,https://www.avito.ru/ufa/sport_i_otdyh/elektrosamokat_1772908287,НЕ УКАЗАНА,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
,https://www.avito.ru/voronezh/telefony/samsung_a7_1817893858,5 790    руб.,//45.img.avito.st/208x156/6154245645.jpg
,https://www.avito.ru/izhevsk/telefony/samsung_s9_plus._garantiya_do_09.09.20_1794108907,32 990    руб.,//52.img.avito.st/208x156/6159059452.jpg
,https://www.avito.ru/yoshkar-ola/telefony/samsung_1443509242?slocation=621540,3 500    руб.,//22.img.avito.st/208x156/5389423922.jpg
,https://www.avito.ru/sankt-peterburg/telefony/samsung_1793079097?slocation=621540,3 500    руб.,//54.img.avito.st/208x156/6230673454.jpg
,https://www.avito.ru/tambov/telefony/samsung_galaxy_a8_1760191193?slocation=621540,9 990    руб.,//33.img.avito.st/208x156/5857901433.jpg
,https://www.avito.ru/nevinnomyssk/telefony/samsung_1223825492?slocation=621540,6 000    руб.,//23.img.avito.st/208x156/4998041823.jpg
,https://www.avito.ru/tambov/telefony/samsung_galaxy_a8_plus_1760795699,13 490    руб.,//26.img.avito.st/208x156/5858063226.jpg
,https://www.avito.ru/voronezh/telefony/samsung_galaxy_a3_1817585250,4 990    руб.,//99.img.avito.st/208x156/6154192799.jpg
,https://www.avito.ru/nizhniy_tagil/telefony/samsung_1806079147?slocation=621540,9 500    руб.,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
,https://www.avito.ru/voronezh/telefony/samsung_galaxy_a5_1817904529,5 990    руб.,//67.img.avito.st/208x156/6154227767.jpg
,https://www.avito.ru/moskva/telefony/samsung_1817638483?slocation=621540,17 300    руб.,//68.img.avito.st/208x156/6229395468.jpg
,https://www.avito.ru/voronezh/telefony/samsung_galaxy_a8_1817570259,10 990    руб.,//22.img.avito.st/208x156/6154270922.jpg
,https://www.avito.ru/kemerovo/telefony/samsung_1826112638,4 990    руб.,//65.img.avito.st/208x156/6230257265.jpg
,https://www.avito.ru/kursk/telefony/samsung_1778892206?slocation=621540,3 300    руб.,//73.img.avito.st/208x156/5933986573.jpg
,https://www.avito.ru/voronezh/telefony/samsung_galaxy_s7_edge_1816999014,7 990    руб.,//50.img.avito.st/208x156/6154355450.jpg
,https://www.avito.ru/salavat/telefony/samsung_1527926859?slocation=621540,5 000    руб.,//24.img.avito.st/208x156/5457033724.jpg
,https://www.avito.ru/voronezh/telefony/samsung_galaxy_s7_1816991666,6 990    руб.,//41.img.avito.st/208x156/6154345841.jpg
,https://www.avito.ru/cheboksary/telefony/samsung_1555032779,100    руб.,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
,https://www.avito.ru/kazan/telefony/samsung_galaxy_a50a30a10s10s10e_rassrochka_1779441731,8 990    руб.,//14.img.avito.st/208x156/5736536614.jpg
,https://www.avito.ru/mahachkala/telefony/samsung_1807278248?slocation=621540,2 000    руб.,//96.img.avito.st/208x156/6228896296.jpg
,https://www.avito.ru/voronezh/telefony/samsung_galaxy_s8_1817135362,16 490    руб.,//25.img.avito.st/208x156/6154365425.jpg
,https://www.avito.ru/vladikavkaz/telefony/samsung_1791784634?slocation=621540,11 500    руб.,//09.img.avito.st/208x156/6229049109.jpg
,https://www.avito.ru/voronezh/telefony/samsung_galaxy_s8_1817188364,17 990    руб.,//53.img.avito.st/208x156/6161669953.jpg
,https://www.avito.ru/kazan/telefony/samsung_1072326212?slocation=621540,3 200    руб.,//86.img.avito.st/208x156/5301953386.jpg
,https://www.avito.ru/voronezh/telefony/samsung_galaxy_s9_plus_1817270696,25 990    руб.,//47.img.avito.st/208x156/6161672447.jpg
,https://www.avito.ru/moskva/telefony/samsung_1804211520?slocation=621540,3 000    руб.,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
,https://www.avito.ru/velikiy_novgorod/telefony/samsung_galaxy_s9_1795076295?slocation=621540,30 000    руб.,//64.img.avito.st/208x156/6222055464.jpg
,https://www.avito.ru/lipetsk/telefony/samsung_galaxy_s8_1772340375?slocation=621540,8 990    руб.,//85.img.avito.st/208x156/5830002085.jpg
,https://www.avito.ru/kropotkin/telefony/samsung_1793105095?slocation=621540,10 000    руб.,//19.img.avito.st/208x156/6228565119.jpg
,https://www.avito.ru/kabardino_balkariya_kamenka/telefony/samsung_1804307291,2 500    руб.,//29.img.avito.st/208x156/6228466429.jpg
,https://www.avito.ru/kaliningrad/telefony/samsung_a5_2017_1784009638,13 490    руб.,//74.img.avito.st/208x156/5801558774.jpg
,https://www.avito.ru/krasnodar/telefony/samsung_1805308399,17 990    руб.,//63.img.avito.st/208x156/6071312463.jpg
,https://www.avito.ru/moskva/telefony/samsung_galaxy_s9_1810011102?slocation=621540,15 499    руб.,//85.img.avito.st/208x156/6204723685.jpg
,https://www.avito.ru/sankt-peterburg/telefony/samsung_1816902467,5 500    руб.,//22.img.avito.st/208x156/6226894822.jpg
,https://www.avito.ru/gelendzhik/telefony/samsung_1809938325,13 000    руб.,//23.img.avito.st/208x156/6176912023.jpg
,https://www.avito.ru/sankt-peterburg/telefony/samsung_galaxy_s8_1818787288,13 990    руб.,//86.img.avito.st/208x156/6177958986.jpg
,https://www.avito.ru/novokuznetsk/telefony/samsung_1810870688,1 000    руб.,//66.img.avito.st/208x156/6227782866.jpg
,https://www.avito.ru/magnitogorsk/telefony/samsung_j3_2017_1797223533?slocation=621540,5 500    руб.,//85.img.avito.st/208x156/6218284485.jpg
,https://www.avito.ru/amurskaya_oblast_blagoveschensk/telefony/samsung_1792204726?slocation=621540,3 000    руб.,//09.img.avito.st/208x156/6231567909.jpg
,https://www.avito.ru/nizhniy_tagil/telefony/samsung_1796808958,500    руб.,//99.img.avito.st/208x156/6227098199.jpg
,https://www.avito.ru/sankt-peterburg/telefony/samsung_s9_1804218235,27 990    руб.,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
,https://www.avito.ru/smolensk/telefony/samsung_1797755301?slocation=621540,21 000    руб.,//76.img.avito.st/208x156/6084413576.jpg
,https://www.avito.ru/krasnodar/telefony/samsung_1449658930,9 000    руб.,//68.img.avito.st/208x156/5810707268.jpg
,https://www.avito.ru/sankt-peterburg/telefony/samsung_galaxy_s9_s9_plus_note_s8_s7_edge_1588890829,9 990    руб.,//31.img.avito.st/208x156/5623181731.jpg
,https://www.avito.ru/sankt-peterburg/telefony/samsung_s6s6edges7s7edges8s8s9s9_1779472375,7 500    руб.,//95.img.avito.st/208x156/5927944495.jpg
,https://www.avito.ru/kanash/telefony/samsung_1785007234,2 000    руб.,//88.img.avito.st/208x156/5945447588.jpg
,https://www.avito.ru/astrahan/telefony/samsung_1807588863,15 000    руб.,//02.img.avito.st/208x156/6230787902.jpg
,https://www.avito.ru/cheboksary/telefony/samsung_1706164869?slocation=621540,2 000    руб.,//75.img.avito.st/208x156/4663177775.jpg
,https://www.avito.ru/cheboksary/telefony/samsung_1180815069?slocation=621540,1 000    руб.,//74.img.avito.st/208x156/4663190674.jpg
,https://www.avito.ru/moskva/telefony/samsung_note_9_128gb_na_snapdragon_1806045815?slocation=621540,НЕ УКАЗАНА,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
,https://www.avito.ru/yaroslavl/bytovaya_tehnika/stiralnye_mashiny_1790505608,НЕ УКАЗАНА,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
,https://www.avito.ru/sankt-peterburg/bytovaya_tehnika/mikrovolnovka_samsung_800_watt_1770830322,НЕ УКАЗАНА,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
,https://www.avito.ru/orenburg/telefony/samsung_1791749398?slocation=621540,1 500    руб.,//51.img.avito.st/208x156/6231645051.jpg
,https://www.avito.ru/tver/telefony/samsung_1684605510?slocation=621540,9 000    руб.,//29.img.avito.st/208x156/5437697729.jpg
,https://www.avito.ru/voronezh/telefony/samsung_galaxy_j3_1817243807,4 490    руб.,//95.img.avito.st/208x156/6154305195.jpg
,https://www.avito.ru/mahachkala/telefony/samsung_1562568142,7 000    руб.,//43.img.avito.st/208x156/4784970543.jpg
,https://www.avito.ru/chelyabinsk/predlozheniya_uslug/remont_kompyuterov_i_noutbukov_kompyuternaya_pomosch_1036789833,НЕ УКАЗАНА,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
,https://www.avito.ru/novosibirsk/telefony/zamena_stekla_iphone_samsung_1201167181,НЕ УКАЗАНА,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
,https://www.avito.ru/ufa/sport_i_otdyh/elektrosamokat_1772908287,НЕ УКАЗАНА,http://www.tourniagara.com/wp-content/uploads/2014/10/default-img.gif
,https://www.avito.ru/voronezh/telefony/samsung_a7_1817893858,5 790    руб.,//45.img.avito.st/208x156/6154245645.jpg
,https://www.avito.ru/izhevsk/telefony/samsung_s9_plus._garantiya_do_09.09.20_1794108907,32 990    руб.,//52.img.avito.st/208x156/6159059452.jpg
,https://www.avito.ru/yoshkar-ola/telefony/samsung_1443509242?slocation=621540,3 500    руб.,//22.img.avito.st/208x156/5389423922.jpg
,https://www.avito.ru/sankt-peterburg/telefony/samsung_1793079097?slocation=621540,3 500    руб.,//54.img.avito.st/208x156/6230673454.jpg
,https://www.avito.ru/tambov/telefony/samsung_galaxy_a8_1760191193?slocation=621540,9 990    руб.,//33.img.avito.st/208x156/5857901433.jpg
,https://www.avito.ru/nevinnomyssk/telefony/samsung_1223825492?slocation=621540,6 000    руб.,//23.img.avito.st/208x156/4998041823.jpg
,https://www.avito.ru/tambov/telefony/samsung_galaxy_a8_plus_1760795699,13 490    руб.,//26.img.avito.st/208x156/5858063226.jpg
,https://www.avito.ru/voronezh/telefony/samsung_galaxy_a3_1817585250,4 990    руб.,//99.img.avito.st/208x156/6154192799.jpg
